antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'1Cr_2Cr', 'Residential land / Plot'})",frozenset({'0BHK'}),0.0313588850174216,0.2578397212543554,0.0313588850174216,1.0,3.8783783783783785,1.0,0.023273318845682234,inf,0.7661870503597121,0.12162162162162163,1.0,0.5608108108108109
"frozenset({'Plot/Land', 'Kanyakumari'})",frozenset({'0BHK'}),0.0313588850174216,0.2578397212543554,0.0313588850174216,1.0,3.8783783783783785,1.0,0.023273318845682234,inf,0.7661870503597121,0.12162162162162163,1.0,0.5608108108108109
"frozenset({'Jalpaiguri', 'Residential land / Plot'})",frozenset({'0BHK'}),0.020905923344947737,0.2578397212543554,0.020905923344947737,1.0,3.8783783783783785,1.0,0.01551554589712149,inf,0.7580071174377224,0.08108108108108109,1.0,0.5405405405405406
"frozenset({'Visakhapatnam', 'Residential land / Plot'})",frozenset({'0BHK'}),0.0313588850174216,0.2578397212543554,0.0313588850174216,1.0,3.8783783783783785,1.0,0.023273318845682234,inf,0.7661870503597121,0.12162162162162163,1.0,0.5608108108108109
"frozenset({'Land', 'Under_50L'})",frozenset({'0BHK'}),0.03484320557491289,0.2578397212543554,0.03484320557491289,1.0,3.8783783783783785,1.0,0.025859243161869147,inf,0.7689530685920577,0.13513513513513514,1.0,0.5675675675675675
"frozenset({'Chennai', 'Land', 'Under_50L'})",frozenset({'0BHK'}),0.020905923344947737,0.2578397212543554,0.020905923344947737,1.0,3.8783783783783785,1.0,0.01551554589712149,inf,0.7580071174377224,0.08108108108108109,1.0,0.5405405405405406
frozenset({'2 BHK Flat'}),frozenset({'2BHK'}),0.03484320557491289,0.2613240418118467,0.03484320557491289,1.0,3.826666666666666,1.0,0.025737838264395584,inf,0.7653429602888087,0.1333333333333333,1.0,0.5666666666666667
"frozenset({'2, 3 BHK Apartment'})",frozenset({'2BHK'}),0.07317073170731707,0.2613240418118467,0.07317073170731707,1.0,3.826666666666666,1.0,0.05404946035523073,inf,0.7969924812030074,0.27999999999999997,1.0,0.64
"frozenset({'2, 3, 4 BHK Apartment'})",frozenset({'2BHK'}),0.020905923344947737,0.2613240418118467,0.020905923344947737,1.0,3.826666666666666,1.0,0.015442702958637353,inf,0.7544483985765126,0.08,1.0,0.54
"frozenset({'2, 3 BHK Apartment', '50L_1Cr'})",frozenset({'2BHK'}),0.05226480836236934,0.2613240418118467,0.05226480836236934,1.0,3.826666666666666,1.0,0.038606757396593375,inf,0.7794117647058824,0.19999999999999998,1.0,0.6
frozenset({'Jalpaiguri'}),"frozenset({'0BHK', 'Residential land / Plot'})",0.03484320557491289,0.16376306620209058,0.020905923344947737,0.6000000000000001,3.6638297872340435,1.0,0.015199893163690225,2.090592334494774,0.7533092659446451,0.11764705882352944,0.5216666666666668,0.3638297872340426
frozenset({'Jalpaiguri'}),frozenset({'Residential land / Plot'}),0.03484320557491289,0.16376306620209058,0.020905923344947737,0.6000000000000001,3.6638297872340435,1.0,0.015199893163690225,2.090592334494774,0.7533092659446451,0.11764705882352944,0.5216666666666668,0.3638297872340426
frozenset({'Kanyakumari'}),frozenset({'0BHK'}),0.03484320557491289,0.2578397212543554,0.0313588850174216,0.9,3.4905405405405405,1.0,0.02237492260437786,7.421602787456448,0.739269955876454,0.12000000000000001,0.8652582159624413,0.5108108108108108
"frozenset({'0BHK', 'Under_50L'})",frozenset({'Residential land / Plot'}),0.12195121951219512,0.16376306620209058,0.06968641114982578,0.5714285714285714,3.4893617021276597,1.0,0.04971530551542449,1.951219512195122,0.8125,0.3225806451612903,0.4875,0.4984802431610942
"frozenset({'4BHK', 'Gurgaon'})",frozenset({'Above_2Cr'}),0.024390243902439025,0.289198606271777,0.024390243902439025,1.0,3.4578313253012047,1.0,0.017336619359224953,inf,0.7285714285714285,0.08433734939759036,1.0,0.5421686746987951
